date,high_c,low_c
2022-02-06,18.2,14.6
2022-02-07,17.7,15.1
2022-02-08,18.1,15.8
2022-02-09,17.4,15.3
2022-02-10,18.1,15.4
2022-02-11,22.0,16.3
2022-02-12,21.3,17.0
2022-02-13,18.7,15.1
2022-02-14,21.3,14.1
2022-02-15,21.8,15.8
2022-02-16,18.5,15.6
2022-02-17,16.9,15.0
2022-02-18,16.7,15.2
2022-02-19,15.9,9.7
2022-02-20,9.8,8.0
2022-02-21,10.1,7.5
2022-02-22,12.2,9.2
2022-02-23,16.2,9.4
2022-02-24,14.9,10.7
2022-02-25,20.1,12.2
2022-02-26,21.4,13.6
2022-02-27,21.7,14.8
2022-02-28,22.5,16.4
2022-03-01,26.3,19.1
2022-03-02,26.1,18.1
2022-03-03,22.6,17.4
2022-03-04,26.6,18.8
2022-03-05,24.6,17.9
2022-03-06,21.3,17.6
2022-03-07,24.6,16.8
2022-03-08,21.6,15.0
2022-03-09,24.3,15.1
2022-03-10,25.0,17.9
2022-03-11,26.9,18.8
2022-03-12,26.0,19.8
2022-03-13,27.7,21.0
2022-03-14,29.0,21.4
2022-03-15,28.4,21.1
2022-03-16,24.7,21.2
2022-03-17,27.7,22.1
2022-03-18,28.7,21.3
2022-03-19,25.8,22.3
2022-03-20,22.9,19.9
2022-03-21,23.7,21.0
2022-03-22,25.1,21.2
2022-03-23,21.6,16.3
2022-03-24,18.5,16.3
2022-03-25,26.7,18.1
2022-03-26,28.7,24.9
2022-03-27,25.4,19.1
2022-03-28,19.2,16.4
2022-03-29,21.2,17.4
2022-03-30,26.1,19.5
2022-03-31,29.3,21.9
2022-04-01,22.0,15.7
2022-04-02,16.1,13.7
2022-04-03,23.9,15.2
2022-04-04,25.6,16.8
2022-04-05,26.9,18.1
2022-04-06,26.2,19.4
2022-04-07,26.7,20.0
2022-04-08,29.1,20.5
2022-04-09,27.6,20.3
2022-04-10,28.5,20.5
2022-04-11,30.3,22.6
2022-04-12,30.2,23.0
2022-04-13,28.1,23.9
2022-04-14,27.8,23.0
2022-04-15,27.6,22.8
2022-04-16,22.9,21.2
2022-04-17,24.9,19.2
2022-04-18,23.2,20.9
2022-04-19,21.1,19.1
2022-04-20,25.6,19.8
2022-04-21,28.4,21.4
2022-04-22,27.2,23.4
2022-04-23,30.3,24.1
2022-04-24,30.9,24.9
2022-04-25,31.4,26.3
2022-04-26,29.8,26.2
2022-04-27,31.6,26.1
2022-04-28,31.6,26.8
2022-04-29,32.0,26.2
2022-04-30,26.8,24.3
2022-05-01,24.6,17.1
2022-05-02,21.3,16.4
2022-05-03,26.6,18.8
2022-05-04,28.5,21.6
2022-05-05,29.3,23.2
2022-05-06,28.9,23.4
2022-05-07,29.7,23.6
2022-05-08,27.5,23.4
2022-05-09,29.0,24.3
2022-05-10,27.7,24.4
2022-05-11,25.9,24.2
2022-05-12,27.0,24.6
2022-05-13,26.9,24.3
2022-05-14,26.5,23.5
2022-05-15,24.9,20.8
2022-05-16,20.8,18.8
2022-05-17,26.3,19.6
2022-05-18,27.1,21.9
2022-05-19,30.0,23.5
2022-05-20,30.9,24.5
2022-05-21,30.7,24.6
2022-05-22,27.2,24.1
2022-05-23,24.8,23.1
2022-05-24,25.0,23.7
2022-05-25,27.4,23.8
2022-05-26,28.6,25.1
2022-05-27,28.5,26.1
2022-05-28,31.3,27.1
2022-05-29,32.2,27.8
2022-05-30,32.7,27.4
2022-05-31,30.7,27.4
2022-06-01,30.9,27.0
2022-06-02,31.0,26.0
2022-06-03,31.2,28.0
2022-06-04,32.0,28.6
2022-06-05,32.0,28.7
2022-06-06,30.6,27.6
2022-06-07,29.6,24.6
2022-06-08,28.0,24.7
2022-06-09,27.9,25.0
2022-06-10,27.3,25.0
2022-06-11,29.1,25.3
2022-06-12,30.3,25.6
2022-06-13,30.6,28.1
2022-06-14,29.3,24.8
2022-06-15,30.5,24.0
2022-06-16,30.5,24.3
2022-06-17,31.0,28.0
2022-06-18,29.8,27.5
2022-06-19,30.9,28.0
2022-06-20,30.4,27.6
2022-06-21,30.5,28.6
2022-06-22,31.8,28.1
2022-06-23,33.8,27.9
2022-06-24,33.4,27.8
2022-06-25,32.8,27.7
2022-06-26,33.9,26.8
2022-06-27,33.4,27.8
2022-06-28,34.4,28.2
2022-06-29,33.9,28.1
2022-06-30,29.6,25.9
2022-07-01,29.7,25.4
2022-07-02,28.4,25.6
2022-07-03,30.3,28.2
2022-07-04,29.4,27.9
2022-07-05,29.7,28.4
2022-07-06,30.3,28.0
2022-07-07,31.6,27.2
2022-07-08,33.8,27.7
2022-07-09,33.3,28.6
2022-07-10,34.2,28.6
2022-07-11,35.1,28.5
2022-07-12,35.2,28.6
2022-07-13,35.2,28.4
2022-07-14,33.1,28.5
2022-07-15,34.3,28.6
2022-07-16,33.3,28.8
2022-07-17,32.6,28.8
2022-07-18,32.7,28.5
2022-07-19,33.7,29.1
2022-07-20,34.2,29.2
2022-07-21,35.2,28.1
2022-07-22,35.6,28.2
2022-07-23,34.9,29.2
2022-07-24,36.1,29.5
2022-07-25,35.8,29.9
2022-07-26,35.2,29.1
2022-07-27,34.2,29.0
2022-07-28,35.3,28.8
2022-07-29,35.3,29.7
2022-07-30,31.2,26.5
2022-07-31,34.0,28.3
2022-08-01,35.7,29.1
2022-08-02,35.2,28.0
2022-08-03,30.8,25.6
2022-08-04,28.4,25.9
2022-08-05,28.6,24.5
2022-08-06,30.9,26.1
2022-08-07,32.6,27.6
2022-08-08,30.9,26.2
2022-08-09,28.5,25.4
2022-08-10,29.6,25.8
2022-08-11,28.8,25.5
2022-08-12,27.1,24.9
2022-08-13,32.6,25.8
2022-08-14,33.3,26.9
2022-08-15,33.6,28.1
2022-08-16,33.2,26.2
2022-08-17,32.3,26.2
2022-08-18,30.4,26.2
2022-08-19,32.0,26.4
2022-08-20,31.9,26.5
2022-08-21,32.9,26.6
2022-08-22,32.9,28.2
2022-08-23,34.5,28.6
2022-08-24,34.9,26.4
2022-08-25,29.8,25.0
2022-08-26,32.9,27.5
2022-08-27,33.0,27.4
2022-08-28,34.4,28.3
2022-08-29,34.6,28.6
2022-08-30,32.3,27.9
2022-08-31,31.7,28.1
2022-09-01,32.9,26.9
2022-09-02,32.3,27.3
